Componentes biconexos:
[6, 7]
[5, 6]
[4, 5]
[3, 4]
[2, 3]
[1, 2]
[0, 1]
[0, 7]

[8, 15]
[9, 8]
[10, 9]
[11, 10]
[12, 11]
[13, 12]
[14, 13]
[14, 15]

[26, 25]
[27, 26]
[16, 27]
[17, 16]
[18, 17]
[19, 18]
[20, 19]
[21, 20]
[22, 21]
[23, 22]
[24, 23]
[24, 25]

[37, 38]
[36, 37]
[35, 36]
[34, 35]
[33, 34]
[32, 33]
[31, 32]
[30, 31]
[29, 30]
[28, 29]
[28, 38]

[43, 42]
[44, 43]
[45, 44]
[46, 45]
[39, 46]
[40, 39]
[41, 40]
[41, 42]

[56, 55]
[57, 56]
[47, 57]
[48, 47]
[49, 48]
[50, 49]
[51, 50]
[52, 51]
[53, 52]
[54, 53]
[54, 55]

[62, 61]
[63, 62]
[64, 63]
[65, 64]
[66, 65]
[67, 66]
[68, 67]
[69, 68]
[58, 69]
[59, 58]
[60, 59]
[60, 61]

[75, 74]
[76, 75]
[77, 76]
[78, 77]
[79, 78]
[80, 79]
[81, 80]
[70, 81]
[71, 70]
[72, 71]
[73, 72]
[73, 74]

[87, 86]
[88, 87]
[89, 88]
[90, 89]
[91, 90]
[82, 91]
[83, 82]
[84, 83]
[85, 84]
[85, 86]

[98, 97]
[99, 98]
[92, 99]
[93, 92]
[94, 93]
[95, 94]
[96, 95]
[96, 97]

